,imdbId,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Actor10
0,114709,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf
1,113497,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy
2,113228,Walter Matthau,Jack Lemmon,Sophia Loren,Ann-Margret,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin
3,114885,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce
4,113041,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams
5,113277,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi
6,114319,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Dana Ivey,Miriam Colon
7,112302,Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead
8,114576,Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate
9,113189,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Tchéky Karyo,Gottfried John,Alan Cumming
10,112346,Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Anne Haney,Richard Dreyfuss
11,112896,Leslie Nielsen,Peter MacNicol,Steven Weber,Amy Yasbeck,Lysette Anthony,Harvey Korman,Mel Brooks,Mark Blankfield,Megan Cavanagh,Clive Revill
12,112453,Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins,Jack Angel,Danny Mann,Robbie Rist,Juliette Brewer,Sandra Dickinson
13,113987,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen
14,112760,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs
15,112641,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent
16,114388,James Fleet,Tom Wilkinson,Harriet Walter,Kate Winslet,Emma Thompson,Gemma Jones,Hugh Grant,Myriam Emilie Francois,Elizabeth Spriggs,Robert Hardy
17,113101,Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals,David Proval,Antonio Banderas
18,112281,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Phillips
19,113845,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez
20,113161,John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer
21,112722,Sigourney Weaver,Holly Hunter,Dermot Mulroney,William McNamara,Harry Connick Jr.,J.E. Freeman,Will Patton,John Rothman,Shannon O'Hurley,Bob Greene
22,112401,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky
23,114168,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,Bradford Tatum,Susan Tyrrell,Missy Crider,Ray Wise,Esteban Powell
24,113627,Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Regen,Valeria Golino,Graham Beckel
25,114057,Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Michael Maloney,Anna Patrick,Nicholas Farrell,Indra Ové,Michael Sheen,André Oumansky
26,114011,Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann,Demi Moore,Ashleigh Aston Moore,Rita Wilson,Devon Sawa,Walter Sparrow
27,114117,,,,,,,,,,
28,112682,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Jean-Claude Dreyfus,Geneviève Brunet,Odile Mallet,Mireille Mossé,Serge Merlin,Rufus
29,115012,Gong Li,Baotian Li,Xiaoxiao Wang,Xuejian Li,Chun Sun,Biao Fu,Shu Chen,Jiang Liu,Baoying Jiang,Qianquan Yang
30,112792,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,Beatrice Winde,John Neville,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris
31,114746,Joseph Melito,Bruce Willis,Jon Seda,Michael Chance,Vernon Campbell,H. Michael Walls,Bob Adrian,Simon Jones,Carol Florence,Bill Raymond
32,112431,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Russi Taylor,Evelyn Krape,Michael Edward-Stevens,Charles Bartlett,Paul Livingston
33,112818,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale
34,113442,Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,Ashley Olsen,Philip Bosco,Jane Sibbett,Michelle Grisom,Desmond Robertson,Tiny Mills,Shanelle Henry
35,112697,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Aida Linares
36,112749,James Earl Jones,Richard Harris,Vusi Kunene,Charles S. Dutton,Tsholofelo Wechoemang,Dolly Rathebe,Ramolao Makhene,Jack Robinson,Jennifer Steyn,Patrick Ndlovu
37,114279,Christopher Bowen,Edward Jewesbury,Ian McKellen,Bill Paterson,Annette Bening,Matthew Groom,John Wood,Nigel Hawthorne,Maggie Smith,Kate Steavenson-Payne
38,112819,Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson,N'Bushe Wright,Alvaleta Guess,James Pickens Jr.,Jenifer Lewis,Clifton Powell
39,114272,Robert Downey Jr.,Sam Neill,David Thewlis,Polly Walker,Meg Ryan,Ian McKellen,Hugh Grant,Ian McDiarmid,Mary MacLeod,Mark Letheren
40,113855,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Talisa Soto,Trevor Goddard,Chris Casamassa,François Petit,Keith Cooke
41,114681,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya,Wayne Knight,Kurtwood Smith,Holland Taylor
42,113347,Kaelynn Craddick,Sara Craddick,Kate Capshaw,Adam Baldwin,Winona Ryder,Dermot Mulroney,Ellen Burstyn,Anne Bancroft,Maya Angelou,Alfre Woodard
43,114369,Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey
44,114148,Joe Baker,Christian Bale,Irene Bedard,Billy Connolly,James Apaumut Fall,Mel Gibson,Linda Hunt,John Kassir,Judy Kuhn,Danny Mann
45,114916,Pascale Bussières,Rachael Crawford,Henry Czerny,David Fox,Don McKellar,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts
46,114814,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,Chazz Palminteri,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya
47,113819,Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Joanne DiMauro,Denise Faye,Marian Filali,Angelo Fraboni,Scott Fowler,Seth Gertsacov
48,110299,Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli,Elida Janushi,Sefer Pema,Idajet Sejdia,Marieta Ljarja,Elina Ndreu,Ilir Ara
49,112499,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Chauncey Leopardi,Patrick Renna,Billy L. Sullivan,Yareli Arizmendi,Bug Hall,Jessica Robertson
50,113158,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe,John C. Reilly,Jimmy Witherspoon,Jason Carter,Tom Bower,Smokey Hormel
51,113321,Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,Cynthia Stevenson,Claire Danes,Emily Ann Lloyd
52,110877,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti,Sergio Solli,Carlo Di Maio,Nando Neri,Vincenzo Di Sauro,Orazio Stracuzzi
53,113419,Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat,Steve Coogan,David Keith,Sakina Jaffrey,Vincent Kartheiser,Nestor Serrano
54,116260,Sally Field,Ed Harris,Olivia Burnette,Alexandra Kyle,Kiefer Sutherland,Joe Mantegna,Beverly D'Angelo,Darrell Larson,Charlayne Woodard,Philip Baker Hall
55,113862,Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Terrence Howard,Damon Whitaker,Jean Louisa Kelly,Alexandra Boyd
